"Tidstämpel","Hur gammal är du ?  ","Bil typ?","Vilket bil märke?"
"2022/03/22 8:53:03 fm CET","45","Inte Elbil","Volvo "
"2022/03/22 8:53:29 fm CET","23","Inte Elbil","Opel"
"2022/03/22 8:54:23 fm CET","33","Spansk bil  (El-bil)","volkswagen"
"2022/03/22 8:54:59 fm CET","35","Spansk bil  (El-bil)","Cykel"
"2022/03/22 8:56:31 fm CET","26","Inte Elbil","Koenigsegg"
"2022/03/22 9:09:17 fm CET","33","Spansk bil  (El-bil)","Tesla"
"2022/03/22 9:13:22 fm CET","38","Spansk bil  (El-bil)","Tesla"
"2022/03/22 9:46:54 fm CET","25","Spansk bil  (El-bil)","Tesla"
"2022/03/22 9:47:29 fm CET","30","Spansk bil  (El-bil)","vet inte"
"2022/03/22 10:43:48 fm CET","27","Inte Elbil","Toyota"
"2022/03/22 10:56:39 fm CET","36","Spansk bil  (El-bil)","Volvo"
"2022/03/22 11:39:19 fm CET","29","Inte Elbil","2020"
"2022/03/22 4:19:52 em CET","34","Spansk bil  (El-bil)","Ford"
"2022/03/22 8:51:53 em CET","28","Inte Elbil","Volkswagen"
"2022/03/22 9:10:16 em CET","31","Inte Elbil","Ford"
"2022/03/23 12:20:58 fm CET","33","Inte Elbil","Toyota"
"2022/03/23 8:33:49 fm CET","34","Inte Elbil","MB"
